unsafe_block,path_traversal,command_injection,function_count,clippy_warnings,label
1,0,0,1,0,unsafe
1,0,0,1,0,unsafe
3,0,0,1,0,unsafe
3,0,0,1,0,unsafe
3,0,0,1,0,unsafe
4,0,0,1,0,unsafe
3,0,0,1,0,unsafe
3,0,0,1,0,unsafe
3,0,0,1,0,unsafe
2,0,0,1,0,unsafe
2,0,0,1,0,unsafe
1,0,0,1,0,unsafe
1,0,0,1,0,unsafe
1,0,0,1,0,unsafe
1,0,0,1,0,unsafe
2,0,0,1,0,unsafe
2,0,0,2,0,unsafe
1,0,0,1,0,unsafe
2,0,0,1,0,unsafe
2,0,0,1,0,unsafe
3,0,0,2,0,unsafe
2,0,0,1,0,unsafe
3,0,0,1,0,unsafe
2,0,0,1,0,unsafe
2,0,0,1,0,unsafe
0,0,0,0,0,unsafe
1,0,0,1,0,unsafe
1,0,0,1,0,unsafe
2,0,0,1,0,unsafe
1,0,0,1,0,unsafe
1,0,0,1,0,unsafe
2,0,0,1,0,unsafe
2,0,0,1,0,unsafe
1,0,0,1,0,unsafe
2,0,0,0,0,unsafe
1,0,0,1,0,unsafe
1,0,0,0,0,unsafe
2,0,0,2,0,unsafe
2,0,0,1,0,unsafe
1,0,0,1,0,unsafe
1,0,0,1,0,unsafe
3,0,0,1,0,unsafe
3,0,0,1,0,unsafe
2,0,0,1,0,unsafe
2,0,0,1,0,unsafe
2,0,0,1,0,unsafe
2,0,0,3,0,unsafe
3,0,0,1,0,unsafe
3,0,0,1,0,unsafe
0,0,0,1,0,unsafe
0,0,0,1,0,safe
0,0,0,1,0,safe
0,0,0,1,0,safe
0,0,0,1,0,safe
0,0,0,1,0,safe
0,0,0,1,0,safe
0,0,0,1,0,safe
1,0,0,1,0,safe
0,0,0,1,0,safe
0,0,0,1,0,safe
0,0,0,1,0,safe
0,1,0,1,0,safe
0,0,0,1,0,safe
0,0,0,1,0,safe
0,0,0,1,0,safe
0,0,0,1,0,safe
1,0,0,1,0,safe
0,0,0,1,0,safe
0,0,0,2,0,safe
0,0,0,1,0,safe
1,0,0,1,0,safe
3,0,0,1,0,safe
3,0,0,1,0,safe
0,0,0,1,0,safe
0,0,0,1,0,safe
0,0,0,0,0,safe
0,0,0,1,0,safe
0,0,0,1,0,safe
0,0,0,1,0,safe
0,0,0,1,0,safe
0,0,0,1,0,safe
0,0,0,1,0,safe
0,0,0,2,0,safe
0,0,0,1,0,safe
1,0,0,0,0,safe
0,0,0,1,0,safe
0,0,0,0,0,safe
1,0,0,3,0,safe
0,0,0,1,0,safe
0,0,0,1,0,safe
0,0,0,1,0,safe
3,0,0,2,0,safe
0,0,0,0,0,safe
2,0,0,1,0,safe
1,0,0,1,0,safe
1,0,0,1,0,safe
0,0,0,1,0,safe
2,0,0,1,0,safe
3,0,0,1,0,safe
0,0,0,0,0,safe